"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"15186";"172";"417";"121";"3416";"-1476";"15160"
"15187";"153";"411";"147";"3440";"-1460";"15112"
"15188";"186";"430";"139";"3428";"-1400";"15260"
"15189";"182";"420";"137";"3496";"-1508";"15244"
"15190";"183";"422";"137";"3424";"-1516";"15212"
"15191";"214";"414";"139";"3416";"-1468";"15208"
"15192";"130";"382";"164";"3408";"-1496";"15184"
"15193";"174";"367";"128";"3424";"-1500";"15288"
"15194";"197";"367";"127";"3412";"-1440";"15240"
"15195";"174";"418";"131";"3448";"-1488";"15204"
"15196";"173";"394";"121";"3488";"-1420";"15312"
"15197";"174";"386";"138";"3372";"-1436";"15156"
"15198";"136";"394";"156";"3428";"-1348";"15208"
"15199";"134";"419";"136";"3448";"-1492";"15312"
"15200";"183";"416";"139";"3516";"-1460";"15244"
"15201";"145";"404";"151";"3452";"-1444";"15244"
"15202";"145";"435";"161";"3428";"-1424";"15232"
"15203";"148";"419";"121";"3432";"-1436";"15172"
"15204";"189";"408";"133";"3436";"-1488";"15272"
"15205";"178";"389";"163";"3412";"-1436";"15192"
"15206";"143";"385";"109";"3424";"-1452";"15188"
"15207";"170";"386";"135";"3404";"-1508";"15280"
"15208";"138";"410";"114";"3120";"-1440";"15196"
"15209";"113";"400";"122";"3384";"-1404";"15260"
"15210";"158";"411";"130";"3440";"-1432";"15180"
"15211";"143";"374";"141";"3472";"-1440";"15188"
"15212";"145";"393";"155";"3404";"-1448";"15128"
"15213";"187";"413";"134";"3472";"-1500";"15184"
"15214";"146";"410";"174";"3360";"-1432";"15316"
"15215";"175";"416";"126";"3352";"-1496";"15192"
"15216";"161";"403";"184";"3404";"-1540";"15192"
"15217";"144";"429";"129";"3444";"-1492";"15268"
"15218";"145";"416";"124";"3464";"-1432";"15148"
"15219";"181";"431";"145";"3500";"-1464";"15224"
"15220";"188";"391";"131";"3372";"-1416";"15164"
"15221";"163";"410";"144";"3388";"-1468";"15196"
"15222";"183";"426";"129";"3416";"-1464";"15176"
"15223";"166";"450";"143";"3452";"-1476";"15172"
"15224";"158";"401";"141";"3400";"-1440";"15216"
"15225";"136";"378";"125";"3432";"-1400";"15236"
"15226";"140";"384";"142";"3460";"-1508";"15176"
"15227";"214";"400";"122";"3480";"-1376";"15304"
"15228";"186";"412";"135";"3420";"-1432";"15276"
"15229";"160";"419";"122";"3388";"-1448";"15192"
"15230";"160";"385";"144";"3364";"-1472";"15296"
"15231";"157";"411";"125";"3428";"-1508";"15228"
