SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1607733821.997642, 7.842656, 0.558298, -5.633706, 0.493632, -1.377222, -0.139664, 201.729080, -44.113174, -814.795654
1607733822.096614, 7.415591, 0.652121, -6.658574, 0.099912, -1.517475, -0.261601, 202.451340, -44.428741, -817.394287
1607733822.1764, 6.239888, 0.314538, -6.566547, 0.415949, -1.517816, 0.042835, 202.543228, -44.699799, -823.388794
1607733822.256422, 6.275651, 0.635810, -8.068909, 0.004526, -0.861338, -0.018759, 201.929810, -44.090347, -828.789917
1607733822.335923, 5.277269, 0.259921, -9.040206, -0.151482, -0.943442, 0.064169, 201.537399, -43.769897, -831.351929
1607733822.415588, 4.273500, -0.186299, -9.535956, 3.862321, 0.025781, 1.994229, 200.725128, -43.867233, -833.700012
1607733822.497597, 4.140622, 0.824503, -17.678037, 8.097744, -1.773545, 1.157251, 198.907364, -45.932388, -839.124268
1607733822.5789661, -0.048034, -3.235464, -4.330512, 1.382338, 0.023147, 0.240124, 200.635620, -62.825119, -842.893677
1607733822.6617122, 1.285986, -6.713940, -5.912331, 1.228696, -0.693374, 0.553379, 197.272873, -71.244614, -843.348145
1607733822.745686, 1.384746, -8.093449, -5.052514, 0.730855, -0.161410, 0.414091, 196.074265, -73.948288, -842.580383
1607733822.826171, 0.282665, -8.592042, -4.339191, 0.775272, -0.112919, 0.411342, 192.982193, -77.361893, -841.874207
1607733822.907901, 0.880917, -8.529643, -4.194492, 0.652939, -0.099752, 0.270721, 192.606308, -79.180038, -841.529541
1607733822.96848, -0.059705, -9.145102, -2.546084, -0.051262, 0.307346, 0.161830, 191.094543, -80.962036, -840.419678
1607733823.07114, -0.229694, -8.929923, -2.186954, -0.580641, 0.428892, -0.055613, 190.657684, -82.336609, -839.773071
1607733823.153285, -0.879719, -8.696189, -3.200748, -1.351292, 0.304801, -0.134399, 189.784180, -82.038116, -840.448242
1607733823.235695, -1.230470, -8.877999, -2.741660, -1.512597, 0.103633, -0.370077, 190.124512, -80.670609, -840.978088
1607733823.323247, -0.166846, -8.459014, -2.727145, -3.832998, 0.993863, -0.129882, 190.265533, -79.397018, -842.076538
1607733823.383136, -0.839317, -6.958747, -3.906888, -5.150590, -1.807137, -1.357463, 191.036804, -75.322525, -845.878418
1607733823.468275, -0.836175, -5.290886, -5.516241, -6.525115, -0.482408, -0.238421, 190.176086, -60.083755, -852.718384
1607733823.553712, -0.593313, -1.448043, -8.241590, -2.999028, -0.849192, 0.267601, 187.910126, -43.727158, -852.970947
1607733823.636353, -1.967435, 2.745102, -9.442582, -0.857060, -0.127834, 0.107174, 186.429535, -32.236725, -845.771973
1607733823.718338, -0.459537, 6.359449, -10.149170, -0.727135, 0.575531, 0.594073, 189.721680, -28.908127, -838.290100
1607733823.801115, -0.348506, 7.185598, -9.088689, 0.231003, 0.227737, 0.305938, 191.634125, -31.760971, -833.606812
1607733823.884628, -1.183633, 6.190508, -7.865401, 0.575190, -0.218595, -0.275906, 189.964691, -34.300705, -832.077148
1607733823.9695501, -1.066617, 5.342811, -7.318027, 0.465186, 0.110148, 0.047099, 188.588089, -35.479645, -832.877991
1607733824.067809, -0.362273, 6.475867, -8.409933, 1.242718, 1.080756, 0.671589, 187.501648, -35.688385, -832.997070
1607733824.163557, 0.046388, 5.102642, -8.864532, 2.177109, 0.037937, -0.142672, 188.026123, -36.306534, -834.623779
1607733824.253458, 1.385195, 4.012981, -10.312126, 2.923833, 0.480039, -0.028352, 190.347427, -37.343735, -836.632690
1607733824.341466, 0.654365, 2.422782, -10.417171, 4.906098, 0.087820, -0.321864, 192.198013, -38.452042, -843.522583
1607733824.426806, -0.214431, -1.221641, -10.903643, 3.412615, 0.254097, -0.460918, 190.202621, -53.752335, -854.758240
1607733824.540525, 0.906654, -5.743690, -8.266879, 1.920644, -0.282550, -0.020528, 191.804367, -65.602005, -852.200012
1607733824.6293159, 1.207426, -6.911013, -7.384017, 1.389905, 0.119168, -0.015228, 193.555801, -71.600082, -846.311890
1607733824.718358, 0.737713, -8.151808, -4.368520, 0.631337, 0.108781, 0.100605, 193.224533, -73.691528, -846.020447
1607733824.778314, 0.470610, -7.473500, -5.702839, 0.464146, 0.206846, 0.134806, 192.446838, -76.222412, -843.237183
1607733824.862761, -0.104148, -8.251915, -4.491373, 0.001628, 0.187051, 0.031280, 192.122406, -77.319916, -842.606201
1607733824.9882221, 0.233435, -8.565556, -3.979014, -0.005173, 0.202069, 0.042402, 192.371735, -77.844116, -842.484985
1607733825.0880132, 0.499640, -8.939051, -3.520674, 0.167347, 0.107066, 0.154900, 191.336594, -77.326904, -842.096558
1607733825.1772032, 0.304662, -9.127146, -3.424157, -0.656095, 0.709203, -0.060655, 192.627106, -77.045197, -842.121704
1607733825.267235, 0.921618, -8.330176, -3.613598, -1.513823, 0.024519, -0.069402, 192.798645, -76.542374, -842.077576
1607733825.35588, 0.823007, -8.048109, -3.359813, -2.429024, -0.265269, -0.118201, 192.877136, -74.799377, -842.622742
1607733825.4438338, 0.482282, -7.382670, -5.609614, -2.679544, -0.113417, 0.135469, 193.186478, -69.291794, -847.152588
1607733825.532619, 0.341623, -5.214272, -7.502381, -2.620802, 0.131807, 0.030872, 191.313858, -62.944077, -850.673401
1607733825.620922, 0.101005, -3.414132, -8.073547, -3.947408, -0.057411, -0.157754, 189.781494, -55.628036, -853.352661
1607733825.709266, 0.539743, 0.523432, -10.601525, -1.765669, 0.263078, -0.092679, 187.978851, -47.024658, -852.114319
1607733825.794849, -0.831536, 3.067721, -10.086622, -0.466763, 0.373801, -0.145764, 185.621231, -37.189758, -844.396606
1607733825.907017, -0.299126, 4.849755, -11.588535, 0.495016, 0.429879, 0.092286, 186.769501, -36.041122, -838.004028
1607733825.991986, -0.265906, 3.438223, -9.492411, 1.024163, -0.087121, -0.039211, 187.360123, -37.094223, -838.348572
1607733826.079706, -0.458939, 3.346495, -9.208698, 0.636007, 0.707052, 0.282927, 189.183441, -39.860687, -840.476807
1607733826.166265, -0.154276, 2.894440, -9.253889, 0.417824, 0.316492, 0.067137, 188.822754, -40.704926, -840.782898
1607733826.252362, 0.214281, 2.071284, -9.309105, 0.564386, 0.354615, -0.044659, 190.304764, -40.940964, -841.810669
1607733826.340698, 0.178218, 2.099565, -10.058789, 0.393858, -0.082851, -0.142274, 190.586548, -40.521240, -841.799988
1607733826.426683, 0.274136, 1.022474, -9.392004, 0.617854, 0.331486, 0.364154, 191.421143, -41.064575, -842.570801
